Building, Road, Heading, Indoors
47.37592 8.54442, 47.37593 8.54457, 266.1859251671958, 0
47.37615 8.54437, 47.37616 8.54454, 266.63353933786874, 0
47.37656 8.54425, 47.37674 8.54426, 183.179830119739, 0
47.37644 8.54415, 47.37651 8.54388, 464.5344550806971, 0
47.37583 8.54423, 47.37584 8.54457, 268.31531568276347, 0
47.3759 8.54421, 47.37591 8.54457, 268.4088597294332, 0
47.37602 8.54415, 47.37604 8.54455, 267.1375947729745, 0
47.37607 8.54412, 47.37609 8.54455, 267.33699923403174, 0
47.37612 8.54412, 47.37614 8.54454, 267.27368900619734, 0
47.37621 8.54411, 47.37628 8.54375, 461.0035408518706, 0
47.37631 8.54409, 47.37637 8.54379, 461.30993247486833, 0
47.37604 8.54474, 47.37603 8.54456, 446.8201698791023, 0
47.37543 8.54478, 47.37542 8.54461, 446.6335393354822, 0
47.3755 8.54494, 47.37562 8.54488, 513.4349488215651, 0
47.37521 8.54479, 47.3752 8.54463, 446.4236656238938, 0
47.37512 8.54508, 47.37501 8.54514, 331.3895403340996, 0
47.37514 8.54516, 47.37503 8.54523, 327.52880770867256, 0
47.37515 8.54525, 47.37506 8.54531, 326.3099324734983, 0
47.37482 8.54478, 47.37481 8.54466, 445.23635830772963, 0
47.37505 8.54491, 47.37497 8.54495, 333.43494882393975, 0
47.37482 8.54492, 47.37494 8.54486, 513.4349488236005, 0
47.3751 8.54499, 47.37499 8.54505, 331.38954033565545, 0
47.37484 8.54501, 47.37497 8.54495, 515.2248594311184, 0
47.37486 8.5451, 47.37499 8.54504, 515.2248594311184, 0
47.37484 8.54555, 47.3749 8.54574, 252.4744316268924, 0
47.37465 8.54483, 47.37464 8.54467, 446.42366562385416, 0
47.3747 8.54555, 47.37458 8.54564, 323.13010235307036, 0
47.37473 8.54563, 47.37461 8.54573, 320.1944289079016, 0
47.37467 8.54547, 47.37455 8.54556, 323.1301023546988, 0
47.37481 8.54339, 47.37474 8.54338, 368.13010235456306, 0
47.37524 8.54364, 47.37545 8.54371, 198.43494882292202, 0
47.37541 8.54364, 47.37546 8.54366, 201.80140948775562, 0
47.37572 8.54374, 47.37576 8.54346, 458.13010235385065, 0
47.37589 8.54387, 47.37602 8.54359, 474.90476880786025, 0
47.37597 8.54387, 47.37607 8.54363, 472.6198649472876, 0
47.37488 8.54369, 47.37483 8.54384, 288.43494882109, 0
47.37505 8.54358, 47.3751 8.54326, 458.8806591508016, 0
47.37538 8.5438, 47.37544 8.54382, 198.43494882444867, 0
47.37574 8.54385, 47.37555 8.54399, 323.61564818465746, 0
47.37459 8.54417, 47.37473 8.54384, 472.9887168023499, 0
47.37443 8.54356, 47.37431 8.54352, 378.4349488236853, 0
47.37441 8.54369, 47.3743 8.54367, 370.30484646844036, 0
47.37439 8.54407, 47.37426 8.54402, 381.0375110255792, 0
47.37432 8.54428, 47.37422 8.54424, 381.8014094872292, 0
47.37429 8.54443, 47.3742 8.5444, 378.43494882326127, 0
47.37457 8.54516, 47.37444 8.54526, 322.4314079704536, 0
47.3746 8.54526, 47.37448 8.54535, 323.1301023552416, 0
47.37464 8.54536, 47.37451 8.54546, 322.4314079709455, 0
47.37455 8.54368, 47.37473 8.54369, 183.179830119739, 0
47.37461 8.54394, 47.37473 8.54384, 500.1944289084022, 0
47.37467 8.54331, 47.37475 8.54332, 187.1250163489018, 0
47.37466 8.5434, 47.37474 8.54341, 187.1250163482755, 0
47.37466 8.54354, 47.37474 8.54355, 187.1250163482755, 0
47.37435 8.54454, 47.37436 8.5447, 266.4236656238938, 0
47.37445 8.54451, 47.37446 8.54469, 266.82016988135706, 0
47.37547 8.54445, 47.37555 8.54445, 180, 0
47.37558 8.54414, 47.37555 8.54414, 360, 0
47.37566 8.54415, 47.37555 8.54415, 360, 0
47.37454 8.5445, 47.37455 8.54468, 266.82016988138844, 0
47.3747 8.54444, 47.37471 8.54467, 267.5104470772135, 0
47.37538 8.54448, 47.37538 8.54461, 270.0, 0
47.37502 8.54399, 47.37484 8.54402, 350.5376777923411, 0
47.37509 8.54402, 47.37485 8.54407, 348.23171106791165, 0
47.37514 8.54402, 47.37542 8.54395, 525.9637565320736, 0
47.37523 8.54406, 47.37542 8.54395, 509.9314171777997, 0
47.37525 8.54397, 47.37542 8.54395, 533.290163192382, 0
47.37497 8.54395, 47.37484 8.54397, 351.2538377376801, 0
47.37489 8.54404, 47.37484 8.54405, 348.6900675267627, 0
47.37477 8.54415, 47.37485 8.54413, 525.9637565320736, 0
47.37491 8.54412, 47.37485 8.54413, 350.5376777919744, 0
47.37349 8.5431, 47.37351 8.54282, 454.0856167812665, 0
47.37381 8.54311, 47.37384 8.54288, 457.431407971759, 0
47.37415 8.54338, 47.37404 8.54334, 379.98310652212285, 0
47.37392 8.54345, 47.37402 8.54348, 196.69924423380687, 0
47.37371 8.54309, 47.37373 8.54285, 454.7636416905507, 0
47.37367 8.54357, 47.37343 8.54389, 306.86989764574224, 0
47.37359 8.54357, 47.37343 8.54389, 296.5650511773324, 0
47.37349 8.54331, 47.37352 8.54282, 453.50353164507163, 0
47.37348 8.54339, 47.37343 8.54389, 275.71059313770115, 0
47.37277 8.54359, 47.37258 8.54368, 334.6538240584217, 0
47.37287 8.54396, 47.37313 8.54391, 529.1144729455445, 0
47.37288 8.54356, 47.37259 8.5437, 334.23067237563185, 0
47.37301 8.54402, 47.37314 8.54399, 527.0053832084266, 0
47.37331 8.54355, 47.37332 8.5439, 268.3634229578686, 0
47.37337 8.54343, 47.37339 8.54389, 267.5104470780873, 0
47.37326 8.54311, 47.37327 8.54281, 451.9091524322395, 0
47.37325 8.54325, 47.37326 8.54281, 451.3019526729887, 0
47.37309 8.54321, 47.3731 8.5428, 451.3971810277381, 0
47.37326 8.54345, 47.37328 8.5439, 267.4551956202872, 0
47.3731 8.54349, 47.37313 8.54391, 265.9143832196979, 0
47.37299 8.54301, 47.373 8.54279, 452.6025622014715, 0
47.37309 8.54299, 47.3731 8.5428, 453.0127875051393, 0
47.37336 8.54308, 47.37337 8.54281, 452.1210963973307, 0
47.37262 8.54324, 47.37252 8.54327, 343.3007557660064, 0
47.37263 8.54343, 47.37254 8.54345, 347.47119229132744, 0
47.37259 8.54392, 47.37257 8.5438, 440.537677792387, 0
47.37259 8.54413, 47.37255 8.54381, 442.8749836500804, 0
47.37416 8.54395, 47.37426 8.54399, 201.8014094872292, 0
47.37407 8.544, 47.37409 8.54377, 454.9697407279194, 0
47.374 8.54444, 47.37405 8.54459, 251.56505117890998, 0
47.37357 8.54387, 47.37344 8.54392, 338.9624889744208, 0
47.37369 8.54393, 47.37345 8.54402, 339.4439547807883, 0
47.37376 8.54391, 47.37398 8.54375, 503.97262661544653, 0
47.37384 8.54388, 47.37398 8.54375, 497.1210963969403, 0
47.3739 8.54394, 47.37398 8.54375, 472.83365417897124, 0
47.37388 8.54418, 47.37398 8.54375, 463.09189306472285, 0
47.37387 8.54454, 47.37392 8.54469, 251.5650511764673, 0
47.37355 8.54399, 47.37345 8.54403, 338.19859051505205, 0
47.37336 8.54413, 47.37347 8.54409, 520.0168934786943, 0
47.37365 8.5443, 47.37353 8.54438, 326.30993247284584, 0
47.37339 8.54421, 47.37348 8.54418, 521.5650511777565, 0
47.37342 8.54433, 47.3735 8.54428, 507.99461679100165, 0
47.37375 8.54462, 47.3738 8.54477, 251.5650511764673, 0
47.3734 8.54449, 47.37328 8.54457, 326.30993247284584, 0
47.37352 8.54662, 47.37359 8.54679, 247.61986494764898, 1
47.37354 8.5464, 47.37366 8.54672, 249.44395478003312, 0
47.37365 8.54652, 47.37371 8.54668, 249.4439547790223, 0
47.37365 8.54633, 47.37377 8.54664, 248.8387401828033, 0
47.3737 8.5463, 47.37386 8.54617, 500.9061411138663, 0
47.37402 8.5462, 47.37391 8.54631, 315.0, 0
47.37343 8.5467, 47.3735 8.54687, 247.61986494785975, 1
47.37359 8.54657, 47.37365 8.54673, 249.44395478125307, 0
47.37349 8.5445, 47.37356 8.54446, 510.2551187043104, 0
47.37351 8.54462, 47.37359 8.54457, 507.99461679100165, 0
47.37351 8.54481, 47.37356 8.54495, 250.346175943927, 0
47.37322 8.54402, 47.37322 8.54391, 450.0, 0
47.37305 8.54434, 47.37319 8.54427, 513.434948822922, 0
47.37326 8.54431, 47.37321 8.54434, 329.03624346822585, 0
47.37307 8.54444, 47.37321 8.54435, 507.26477372818636, 0
47.37328 8.54439, 47.37323 8.54442, 329.03624346822585, 0
47.37331 8.54446, 47.37326 8.54449, 329.0362434661304, 0
47.37338 8.54458, 47.3733 8.54463, 327.99461679100165, 0
47.3734 8.5447, 47.37334 8.54475, 320.1944289067337, 0
47.37252 8.54395, 47.3725 8.54382, 441.25383773779777, 0
47.37246 8.54402, 47.37244 8.54384, 443.6598082543383, 0
47.37238 8.54396, 47.37232 8.54397, 350.5376777919744, 0
47.37239 8.5441, 47.37233 8.54411, 350.5376777930747, 0
47.37247 8.54436, 47.37237 8.5444, 338.1985905141746, 0
47.37248 8.54444, 47.37238 8.54448, 338.1985905141746, 0
47.3725 8.54452, 47.3724 8.54456, 338.1985905141746, 0
47.37251 8.5446, 47.37241 8.54464, 338.1985905136482, 0
47.37254 8.54472, 47.37244 8.54476, 338.1985905141746, 0
47.37276 8.54465, 47.37244 8.54479, 336.37062226947666, 0
47.37271 8.5445, 47.37241 8.54463, 336.5713071908928, 0
47.37244 8.54426, 47.37235 8.54429, 341.56505117673873, 0
47.37256 8.54512, 47.3725 8.54514, 341.565051177078, 0
47.37258 8.54529, 47.37251 8.54529, 360, 0
47.37265 8.54506, 47.37249 8.5451, 345.96375653207355, 0
47.37276 8.5453, 47.37251 8.54529, 362.29061004254095, 0
47.37275 8.54501, 47.37249 8.54508, 344.931511840564, 0
47.37293 8.54486, 47.3733 8.54463, 508.13402230663763, 0
47.37315 8.54466, 47.37328 8.54458, 508.3924977533143, 0
47.37302 8.54477, 47.37329 8.5446, 507.8042660654967, 0
47.37255 8.54488, 47.37247 8.54492, 333.43494882190424, 0
47.37255 8.54501, 47.37248 8.54503, 344.0546040969648, 0
47.37301 8.54465, 47.37326 8.54449, 507.38075692876095, 0
47.37328 8.54478, 47.37333 8.54473, 495.0000000010178, 0
47.37323 8.54511, 47.37342 8.54493, 496.5481576997357, 0
47.37287 8.54523, 47.37251 8.54522, 361.5911402711318, 0
47.3729 8.54511, 47.37251 8.54522, 344.2488263365036, 0
47.37296 8.54506, 47.37333 8.54472, 497.4195092169828, 0
47.37296 8.54522, 47.37251 8.54522, 360, 0
47.37304 8.54536, 47.37344 8.54498, 496.46880071433236, 0
47.3731 8.54495, 47.37333 8.54473, 496.2730300202275, 0
47.37318 8.54487, 47.37333 8.54473, 496.9749340118248, 0
47.3732 8.54484, 47.37333 8.54472, 497.2906100437116, 0
47.37324 8.5448, 47.37333 8.54472, 498.36646066328944, 0
47.37262 8.54544, 47.3725 8.54544, 360, 0
47.37339 8.54515, 47.37348 8.54507, 498.36646066392115, 0
47.37347 8.54538, 47.37357 8.54531, 505.0079798026709, 0
47.37327 8.54557, 47.37358 8.54535, 504.63753811276894, 0
47.37349 8.54543, 47.37358 8.54536, 502.1250163492932, 0
47.37329 8.54563, 47.3736 8.54541, 504.6375381136071, 0
47.37354 8.54566, 47.37365 8.54557, 500.7105931372981, 0
47.37342 8.54577, 47.37366 8.54559, 503.13010235415595, 0
47.37357 8.54574, 47.37368 8.54565, 500.7105931372981, 0
47.37313 8.54611, 47.3729 8.54633, 316.2730300204586, 1
47.37318 8.54601, 47.37288 8.5463, 315.97102193070504, 1
47.37332 8.54586, 47.37366 8.5456, 502.59464336880256, 0
47.37345 8.54585, 47.37369 8.54567, 503.1301023546988, 0
47.37294 8.54602, 47.37283 8.54618, 304.5085229876414, 1
47.37298 8.54614, 47.37286 8.54626, 314.9999999987278, 1
47.37281 8.54596, 47.37275 8.54605, 303.6900675249359, 1
47.37352 8.54558, 47.37363 8.5455, 503.97262661517146, 0
47.37327 8.54597, 47.3729 8.54633, 315.78482460282765, 1
47.37368 8.54594, 47.37376 8.54588, 503.1301023533418, 0
47.3737 8.54602, 47.37379 8.54595, 502.12501634858864, 0
47.37372 8.54608, 47.37381 8.54601, 502.1250163492932, 0
47.37375 8.54615, 47.37383 8.54609, 503.13010235252756, 0
47.37297 8.54633, 47.37291 8.54637, 326.30993247597746, 1
47.37305 8.54627, 47.3729 8.54636, 329.03624346752736, 1
47.37307 8.54639, 47.37293 8.54647, 330.2551187037624, 1
47.37322 8.54639, 47.37312 8.54669, 288.4349488235327, 1
47.37323 8.54626, 47.37312 8.54669, 284.34933204287995, 1
47.37331 8.54622, 47.37313 8.5467, 290.55604521888637, 1
47.37349 8.54605, 47.37375 8.54585, 502.4314079717022, 0
47.37303 8.54622, 47.3729 8.54633, 319.7636416905858, 1
47.373 8.54644, 47.37294 8.54647, 333.434948822922, 1
47.37303 8.54655, 47.37296 8.54658, 336.80140948617634, 1
47.37313 8.54647, 47.37312 8.54669, 272.60256220331826, 1
47.37325 8.54654, 47.37313 8.5467, 306.869897644928, 1
47.37319 8.54667, 47.37314 8.54672, 315.0000000010178, 1
47.37341 8.54653, 47.37353 8.54683, 248.19859051318025, 1
47.37345 8.54646, 47.37358 8.54679, 248.49856567615436, 1
47.37234 8.54317, 47.3725 8.54311, 519.4439547806953, 0
47.37231 8.54346, 47.37253 8.54341, 527.1957339346733, 0
47.37237 8.54336, 47.37253 8.54333, 529.3803447236912, 0
47.37243 8.54329, 47.37252 8.54327, 527.4711922902497, 0
47.3722 8.54363, 47.37208 8.54382, 302.27564431514196, 0
47.37219 8.54321, 47.37218 8.54281, 448.567903815384, 0
47.37213 8.54368, 47.37208 8.54382, 289.653824058652, 0
47.37211 8.54397, 47.37208 8.54382, 438.6900675250664, 0
47.37221 8.544, 47.37232 8.54398, 529.695153530664, 0
47.37225 8.54428, 47.37234 8.54425, 521.5650511767387, 0
47.37226 8.54448, 47.37217 8.5445, 347.47119229132744, 0
47.37229 8.54461, 47.37219 8.54464, 343.3007557660064, 0
47.3723 8.5447, 47.3722 8.54473, 343.3007557671269, 0
47.37229 8.54482, 47.37222 8.54484, 344.05460409850104, 0
47.37235 8.54485, 47.37245 8.54481, 518.1985905141746, 0
47.37234 8.54502, 47.37224 8.54505, 343.3007557661931, 0
47.37241 8.54517, 47.3725 8.54515, 527.4711922902497, 0
47.37238 8.54532, 47.3725 8.54532, 180, 0
47.37225 8.54525, 47.37221 8.54516, 426.0375110262612, 0
47.37241 8.54553, 47.3725 8.54553, 180, 0
47.37244 8.54595, 47.37254 8.54577, 479.0546040998453, 1
47.37253 8.54609, 47.37265 8.54591, 483.6900675265017, 1
47.37259 8.54619, 47.37272 8.54601, 485.83765295421637, 1
47.37266 8.54622, 47.37276 8.54607, 483.6900675250403, 1
47.37269 8.54629, 47.3728 8.54614, 486.253837737033, 1
47.37275 8.54633, 47.37285 8.54623, 494.9999999989822, 1
47.37267 8.54642, 47.37285 8.54624, 495.0, 1
47.37277 8.5464, 47.37288 8.54629, 495.0, 1
47.37273 8.54649, 47.37291 8.54638, 508.57043438493275, 1
47.37277 8.54652, 47.37292 8.54642, 506.309932473707, 1
47.37222 8.54567, 47.37207 8.54532, 426.8014094865975, 0
47.37236 8.54643, 47.37231 8.54651, 302.0053832093414, 1
47.37241 8.54648, 47.37235 8.54657, 303.69006752858945, 1
47.37249 8.54659, 47.37243 8.54668, 303.6900675249359, 1
47.37174 8.54344, 47.37178 8.54382, 263.9909940427285, 0
47.37158 8.54375, 47.37162 8.54389, 254.05460409965323, 0
47.37087 8.54314, 47.37086 8.543, 445.9143832216267, 0
47.37119 8.54325, 47.37116 8.54294, 444.4724598492147, 0
47.37162 8.5431, 47.37161 8.54287, 447.5104470772135, 0
47.37191 8.5432, 47.37189 8.54284, 446.820169880261, 0
47.37191 8.54348, 47.37189 8.5438, 273.57633437487857, 0
47.37191 8.54353, 47.3719 8.5438, 272.1210963973446, 0
47.37199 8.54357, 47.37198 8.54381, 272.385944029454, 0
47.37133 8.544, 47.37138 8.5441, 243.4349488221078, 0
47.37139 8.54386, 47.37146 8.54402, 246.37062226897612, 0
47.37166 8.54371, 47.37168 8.54385, 261.86989764614935, 0
47.37124 8.54346, 47.3712 8.54293, 445.6839724802929, 0
47.37138 8.54351, 47.37155 8.54394, 248.42869280906436, 0
47.37146 8.54361, 47.37156 8.54393, 252.6459753632135, 0
47.37112 8.54344, 47.37108 8.54295, 445.33314162874626, 0
47.37121 8.54366, 47.37141 8.54406, 243.43494882302377, 0
47.37125 8.5438, 47.37139 8.54409, 244.23067237662312, 0
47.37129 8.5439, 47.37139 8.54409, 242.24145939982307, 0
47.37199 8.54401, 47.372 8.54381, 452.8624052270255, 0
47.37188 8.54426, 47.37175 8.54456, 293.42869280845025, 0
47.37165 8.54406, 47.3716 8.5439, 432.64597536312294, 0
47.37171 8.54395, 47.3717 8.54384, 444.80557109068013, 0
47.37156 8.54416, 47.37149 8.54399, 427.619864947649, 0
47.3718 8.5442, 47.37175 8.54456, 277.907162703205, 0
47.37183 8.54436, 47.37175 8.54456, 291.8014094872292, 0
47.37189 8.54446, 47.37184 8.54463, 286.38954033465063, 0
47.37186 8.54488, 47.37193 8.5448, 491.1859251665203, 0
47.37196 8.54458, 47.37187 8.54468, 311.98721249592916, 0
47.37192 8.54499, 47.37199 8.54493, 499.3987053527205, 0
47.37177 8.5443, 47.37175 8.54456, 274.3987053548159, 0
47.37197 8.54524, 47.37202 8.54536, 247.38013505141757, 0
47.37165 8.54504, 47.37155 8.54504, 360, 0
47.37177 8.54481, 47.37173 8.54473, 423.4349488239398, 0
47.37196 8.54511, 47.37203 8.54504, 495.00000000072697, 0
47.37142 8.54512, 47.37148 8.54522, 239.03624346882452, 0
47.37144 8.54539, 47.3714 8.54533, 416.30993247480313, 0
47.37159 8.54474, 47.37164 8.54483, 240.94539590015472, 0
47.37152 8.54524, 47.3715 8.5452, 423.4349488239398, 0
47.37142 8.54564, 47.3713 8.54548, 413.13010235374884, 0
47.37159 8.54564, 47.37166 8.54574, 235.0079798010315, 0
47.37179 8.54541, 47.37184 8.54553, 247.38013505111644, 0
47.37185 8.5453, 47.37192 8.54546, 246.37062226920972, 0
47.37107 8.54653, 47.37116 8.54663, 228.01278750407087, 0
47.37117 8.54639, 47.37124 8.54647, 228.81407483347974, 0
47.37119 8.54626, 47.37129 8.54638, 230.19442890656686, 0
47.37127 8.54618, 47.37135 8.54628, 231.34019174690286, 0
47.37136 8.54602, 47.37144 8.54613, 233.97262661577662, 0
47.37146 8.54587, 47.37154 8.54597, 231.34019174442048, 0
47.37099 8.54625, 47.37092 8.54618, 405.0, 0
47.37105 8.54615, 47.37097 8.54607, 405.0000000012722, 0
47.37116 8.5459, 47.3711 8.54581, 416.3099324719325, 0
47.37092 8.54644, 47.37084 8.54636, 405.0000000012722, 0
47.37065 8.5459, 47.37054 8.54598, 323.9726266145663, 0
47.37068 8.54606, 47.37059 8.54612, 326.3099324742812, 0
47.37075 8.54624, 47.37065 8.54631, 325.0079798019878, 0
47.37108 8.54606, 47.37101 8.54599, 405.0, 0
47.37092 8.54421, 47.37094 8.54437, 262.87498365141136, 0
47.37105 8.54418, 47.37108 8.54431, 257.00538320693994, 0
47.3711 8.5444, 47.37108 8.54431, 437.47119229132744, 0
47.37106 8.54396, 47.37113 8.54429, 258.02386755564464, 0
47.37109 8.54453, 47.37105 8.54432, 439.215702130923, 0
47.37115 8.54415, 47.37117 8.54427, 260.5376777922495, 0
47.37124 8.54447, 47.37119 8.54427, 435.9637565317143, 0
47.37136 8.54427, 47.37132 8.54416, 430.01689347542555, 0
47.37148 8.5444, 47.37135 8.54414, 423.43494882307857, 0
47.37107 8.54377, 47.37123 8.54423, 250.8209919748758, 0
47.37112 8.54386, 47.37124 8.54422, 251.56505117665392, 0
47.37115 8.54394, 47.37125 8.54422, 250.346175941348, 0
47.37094 8.5435, 47.37089 8.54299, 444.4006606640879, 0
47.37078 8.54383, 47.37087 8.54439, 260.8698235184173, 0
47.37112 8.54467, 47.37105 8.54432, 438.690067525812, 0
47.37077 8.54483, 47.37086 8.54481, 527.4711922913275, 0
47.37079 8.54555, 47.37081 8.54535, 455.7105931372477, 0
47.36937 8.54385, 47.36932 8.54391, 309.8055710934332, 0
47.36947 8.54404, 47.36942 8.5441, 309.8055710934332, 0
47.37056 8.54516, 47.37078 8.54535, 220.8150838741107, 0
47.37048 8.54541, 47.37037 8.54549, 323.97262661517146, 0
47.37054 8.54558, 47.37043 8.54566, 323.9726266145663, 0
47.37057 8.54575, 47.37048 8.54581, 326.3099324742812, 0
47.37061 8.54411, 47.37062 8.54444, 268.26429541052073, 0
47.3706 8.54455, 47.3706 8.54444, 450.0, 0
47.37039 8.54465, 47.37034 8.54451, 430.346175941348, 0
47.37063 8.54366, 47.37052 8.5431, 438.88695946407984, 0
47.37066 8.54378, 47.37081 8.54441, 256.60750224641635, 0
47.37063 8.54401, 47.37064 8.54444, 268.66778014570673, 0
47.36998 8.53336, 47.3699 8.53326, 411.34019174690286, 0
47.36954 8.54387, 47.3696 8.54398, 241.3895403348127, 0
47.36904 8.54387, 47.36896 8.54372, 421.92751306499224, 0
47.36914 8.54374, 47.3692 8.54368, 494.99999999915184, 0
47.36924 8.54394, 47.36922 8.54391, 416.30993247402023, 0
47.36887 8.545, 47.36879 8.5451, 308.6598082555795, 0
47.36897 8.54499, 47.36904 8.5451, 237.52880770867256, 0
47.36949 8.54445, 47.36952 8.54454, 251.56505117572095, 0
47.36923 8.54423, 47.36912 8.54403, 421.18920625731994, 0
47.36927 8.54434, 47.36945 8.54414, 491.9872124959291, 0
47.36937 8.54455, 47.3694 8.54464, 251.56505117979205, 0
47.36906 8.54461, 47.369 8.54468, 310.60129464428604, 0
47.36916 8.54477, 47.3691 8.54485, 306.8698976446227, 0
47.36862 8.54487, 47.36867 8.54483, 501.3401917466546, 0
47.36864 8.54492, 47.36869 8.54487, 495.0000000010178, 0
47.36867 8.54497, 47.36871 8.54493, 495.0, 0
47.36869 8.54505, 47.36874 8.545, 495.0000000010178, 0
47.36938 8.54422, 47.36945 8.54414, 491.1859251665203, 0
47.36944 8.54434, 47.36951 8.54425, 487.87498365141136, 0
47.36874 8.54516, 47.36879 8.5451, 489.8055710894288, 0
47.36881 8.54524, 47.36884 8.5452, 486.8698976413658, 0
47.36864 8.54534, 47.36857 8.5454, 319.3987053547561, 0
47.36875 8.54532, 47.36881 8.54542, 239.03624346583106, 0
47.36836 8.54502, 47.36833 8.54495, 426.8014094844215, 1
47.36848 8.54486, 47.36846 8.54481, 428.1985905143501, 1
47.36852 8.54493, 47.36844 8.54501, 314.9999999993639, 0
47.36841 8.54514, 47.36847 8.54509, 500.1944289100707, 0
47.36854 8.545, 47.36846 8.54506, 323.1301023557844, 0
47.36857 8.54506, 47.36849 8.54513, 318.81407483284926, 0
47.36859 8.54514, 47.36851 8.54518, 333.43494882190424, 0
47.36938 8.54487, 47.36931 8.54474, 421.69924423376017, 0
47.36968 8.54468, 47.36962 8.54447, 434.0546040977969, 0
47.36981 8.54472, 47.3699 8.54455, 477.8972710308926, 0
47.36986 8.5448, 47.36996 8.54461, 477.7585406001769, 0
47.36951 8.54549, 47.36955 8.54557, 243.43494882393978, 0
47.36969 8.54527, 47.36966 8.54535, 290.5560452169344, 0
47.36993 8.54489, 47.36998 8.54495, 230.19442890656686, 0
47.36952 8.54465, 47.36949 8.54457, 429.4439547790223, 0
47.36952 8.54489, 47.36942 8.54462, 429.6768631697478, 0
47.36913 8.54518, 47.36906 8.54507, 417.52880770867256, 0
47.36939 8.54528, 47.36953 8.54559, 245.69545073492537, 0
47.36928 8.54542, 47.36947 8.54564, 229.18491612573268, 0
47.36945 8.54539, 47.36954 8.54558, 244.65382405800725, 0
47.36803 8.54501, 47.36814 8.54492, 500.7105931372981, 1
47.36814 8.5452, 47.36813 8.54517, 431.56505118318466, 1
47.36835 8.54528, 47.3683 8.54532, 321.3401917466546, 0
47.36839 8.5454, 47.36834 8.54544, 321.34019174392404, 0
47.36831 8.54558, 47.36837 8.54553, 500.1944289067337, 0
47.36835 8.5457, 47.36838 8.5458, 253.30075576469915, 0
47.36846 8.54558, 47.36841 8.54562, 321.3401917466546, 0
47.36862 8.54575, 47.36858 8.54565, 428.1985905143501, 0
47.3687 8.54566, 47.36866 8.54558, 423.4349488239398, 0
47.36875 8.5456, 47.36871 8.54552, 423.4349488239398, 0
47.36807 8.54533, 47.36804 8.54526, 426.8014094844215, 0
47.36792 8.54567, 47.3678 8.54578, 317.4895529206165, 0
47.36819 8.5456, 47.3681 8.54568, 318.36646066328944, 0
47.36821 8.54567, 47.36812 8.54575, 318.36646066328944, 0
47.36825 8.54576, 47.36828 8.54586, 253.3007557684341, 0
47.36867 8.5443, 47.36875 8.54421, 491.63353933544715, 0
47.36828 8.54511, 47.36825 8.54505, 423.4349488263146, 1
47.36782 8.54542, 47.36795 8.54531, 499.7636416905858, 0
47.36802 8.5459, 47.36808 8.54608, 251.56505117775652, 0
47.36846 8.5453, 47.36853 8.54527, 516.8014094874047, 0
47.36851 8.54546, 47.36857 8.54541, 500.1944289067337, 0
47.36855 8.54555, 47.36861 8.5455, 500.1944289067337, 0
47.37005 8.545, 47.37 8.54493, 414.4623222067878, 0
47.37014 8.54526, 47.37026 8.54517, 503.1301023546988, 0
47.37019 8.54534, 47.37029 8.54526, 501.3401917452893, 0
47.37023 8.54547, 47.37034 8.54539, 503.9726266145663, 0
47.37025 8.5456, 47.37038 8.5455, 502.4314079709455, 0
47.37036 8.54586, 47.37047 8.54578, 503.97262661517146, 0
47.37054 8.54636, 47.37064 8.54629, 505.0079798026709, 0
47.37055 8.5466, 47.37059 8.54677, 256.7594800853467, 0
47.36993 8.54526, 47.36991 8.54522, 423.4349488239398, 0
47.36998 8.54535, 47.36991 8.54542, 315.0, 0
47.37 8.54542, 47.36993 8.54548, 319.3987053555942, 0
47.37003 8.54548, 47.36996 8.54554, 319.3987053547561, 0
47.36959 8.54723, 47.36956 8.54715, 429.4439547790223, 0
47.36968 8.54686, 47.36981 8.54679, 511.6992442334334, 0
47.36987 8.54554, 47.36993 8.54548, 494.9999999983037, 0
47.36993 8.54568, 47.36999 8.54562, 495.0000000016963, 0
47.36983 8.54547, 47.36977 8.54553, 314.99999999915184, 0
47.36972 8.54556, 47.36977 8.54552, 501.3401917466546, 0
47.36974 8.54566, 47.3698 8.5456, 494.99999999915184, 0
47.36997 8.54574, 47.37002 8.54569, 494.99999999694666, 0
47.36978 8.54574, 47.36984 8.54569, 500.1944289100707, 0
47.3698 8.5458, 47.36986 8.54575, 500.1944289100707, 0
47.36985 8.54586, 47.36989 8.54582, 495.0, 0
47.36999 8.54584, 47.36992 8.5459, 319.3987053555942, 0
47.36985 8.54595, 47.36992 8.54589, 499.39870535559425, 0
47.36999 8.54593, 47.36995 8.54597, 314.9999999987278, 0
